Address,Name,Followers
0x860c4604fe1125ea43f81e613e7afb2aa49546aa,@videodrome,626.0
0x39cc9c86e67baf2129b80fe3414c397492ea8026,@xcopy,1227.0
0x21316e6a4f0af45e5f1503984e83b10c53b177d8,@hackatao,1426.0
0x47709726b5bdc4c8c97de43691d93821d5b14103,@travisleroy,132.0
0xf0520845f700796b567cd740876f2e210f2468e5,@marks,3.0
0x9e30a1e5e13a2e0f2ed775bbd420fb7cb31ebebe,@killeracid,476.0
0x0320de3378dcde180758ad2d41c0e1c6dcbb441d,@upheaver,115.0
0xb7734b5c378fd169d2b9720d0d5ac1a7b30f9fc9,@obvious,207.0
0x79f7c440b359dece7f2a74813a94c36e3aba740e,@scrilla,8.0
0x4cc94028024bb109784690d71a4a010241aa6689,@leozeba,111.0
0x8910ff16c56415a408737812445aaaa78cef1c6b,@vangango,156.0
0xd6d6403ded517f2b7ab4fcbdc69b8718cdadb5cb,@gordon_berger,38.0
0xd797d5784f43de300ec0d6bc34fc86023c5d71ce,@bflynn,4.0
0x55372173689c288552885d897d32f5f706f79aa6,@vanarman,337.0
0x89f2420190d752a29671dad303446cdbe8c2193a,@JoeChiappetta,34.0
0x37d6140e556d3730e366ae983de4f436addb3b62,@helenr,10.0
0x3d9456ad6463a77bd77123cb4836e463030bfab4,@jonathanmann,47.0
0xdc595e18a3bd1b84cd53588b95377932e02b6899,@mills,85.0
0xceaa12eb3f45cb4d58b0f27512a286afeacaadcc,@eburgami,294.0
0xf5f067f3e3b32c194e7b36cae95a5fdefb5f7396,@originalartmaker,1.0
0x5fae9d4b591f213b3ba75287f2cfac0883d17f7a,@jscrilla,163.0
0x60d38778adbbeeac88f741b833cbb9877228eea0,@pbock,161.0
0x981276d81272f7cd8808701645741db1abacad56,@criptocromo,109.0
0x77350e1152efd5f2d807a6124015c629a907155e,@artonymousartifakt,223.0
0x8e23b400c603e1fd0990b69d7734531f6a0db334,@artistx,67.0
0x7056a5da7d269b31eb2e54e5579e41ef283d7d2c,@realorrin,14.0
0x82aa7f697b9bc19f286d286d130405c0850a2e7b,@ny,34.0
0xced2662fe30d876bef52f219eeac67e2b328effc,@mlodotart,109.0
0xb95f9f4a05e0b029010d624ae43ff7e762a15571,@gifanimator,4.0
0x5cbb31e39ca93ca13d8e9f686bf749b14076bc65,@hisartwork,230.0
0x39c040b50a13894e19dfbb0af47ac9bade9926da,@levpolyakov,9.0
0x4e6772b3d36cd45182cd93926b1de04172be9eaa,@mrmarcelmusk,6.0
0xd0c877b474cd51959931a7f70d7a6c60f50cdae7,@coldie,960.0
0x198574b36647b05d925c152471d05aa0d5d3e1c0,@adrienlf,14.0
0x1b158330eb18839f50649f4cb8f49954214866a3,@zaza,22.0
0x234ff6b1fe028fcc7cc9dbc52d0532d9e7ae7f2f,@zakulele,64.0
0x75d41cdb138c4125f89bef198fd3d865c5e42808,@followfridays,86.0
0xfce9262f62f564edb7f2aed998ab3a551b5fb0ab,@wavefunk,12.0
0x0b715ca8dc39e7f8a480d28d9822ae02f0a57008,@maxosiris,51.0
0xda5e56e6a41230ed87f39b7c65ede7a8373de403,@pajaritaflora-digital,367.0
0x89add8c2d24467410e60e2c24aba31b8ab9e05d8,@nucara,302.0
